Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated
0.3125 ug/mL,0.3125,0.0,3.431246487127998
0.3125 ug/mL,0.3125,0.03,1024.7316725464907
0.3125 ug/mL,0.3125,0.06,1932.7423321170554
0.3125 ug/mL,0.3125,0.09,2740.030116256145
0.3125 ug/mL,0.3125,0.12,3457.7679088151253
0.3125 ug/mL,0.3125,0.15,4095.8892194414275
0.3125 ug/mL,0.3125,0.18,4663.225663609464
0.3125 ug/mL,0.3125,0.21,5167.629192407657
0.3125 ug/mL,0.3125,0.24,5616.080763744947
0.3125 ug/mL,0.3125,0.27,6014.786958989166
0.3125 ug/mL,0.3125,0.3,6369.2658822139865
0.3125 ug/mL,0.3125,0.32999999999999996,6684.423530902292
0.3125 ug/mL,0.3125,0.36,6964.621695078464
0.3125 ug/mL,0.3125,0.39,7213.73832459535
0.3125 ug/mL,0.3125,0.42,7435.221200060707
0.3125 ug/mL,0.3125,0.44999999999999996,7632.135650210163
0.3125 ug/mL,0.3125,0.48,7807.206976136341
0.3125 ug/mL,0.3125,0.51,7962.858169526602
0.3125 ug/mL,0.3125,0.54,8101.2434469307855
0.3125 ug/mL,0.3125,0.57,8224.27806417408
0.3125 ug/mL,0.3125,0.6,8333.664823547275
0.3125 ug/mL,0.3125,0.63,8430.917640634583
0.3125 ug/mL,0.3125,0.6599999999999999,8517.382496944561
0.3125 ug/mL,0.3125,0.69,8594.256068329065
0.3125 ug/mL,0.3125,0.72,8662.602287008041
0.3125 ug/mL,0.3125,0.75,8723.367066419038
0.3125 ug/mL,0.3125,0.78,8777.391392683669
0.3125 ug/mL,0.3125,0.8099999999999999,8825.422963877347
0.3125 ug/mL,0.3125,0.84,8868.12653819001
0.3125 ug/mL,0.3125,0.87,8906.093134196706
0.3125 ug/mL,0.3125,0.8999999999999999,8939.848210569979
0.3125 ug/mL,0.3125,0.9299999999999999,8969.858938441514
0.3125 ug/mL,0.3125,0.96,8996.540667062707
0.3125 ug/mL,0.3125,0.99,9020.262672249068
0.3125 ug/mL,0.3125,1.02,9041.353267167071
0.3125 ug/mL,0.3125,1.05,9060.104346196897
0.3125 ug/mL,0.3125,1.08,9076.775424758202
0.3125 ug/mL,0.3125,1.1099999999999999,9091.597231010268
0.3125 ug/mL,0.3125,1.14,9104.774899135693
0.3125 ug/mL,0.3125,1.17,9116.490808402801
0.3125 ug/mL,0.3125,1.2,9126.907107299436
0.3125 ug/mL,0.3125,1.23,9136.16795767224
0.3125 ug/mL,0.3125,1.26,9144.401529930346
0.3125 ug/mL,0.3125,1.29,9151.72177692716
0.3125 ug/mL,0.3125,1.3199999999999998,9158.230011070802
0.3125 ug/mL,0.3125,1.3499999999999999,9164.016306490466
0.3125 ug/mL,0.3125,1.38,9169.160745664698
